BatteryPower,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,NumberofSeats,Drive,PriceinSwitzerland
92,9.1,269,467,241,315,1,1,69088.34
114,7.5,184,503,215,452,2,2,53892.3775
98,5.4,163,365,195,749,3,1,58661.7025
64,3.5,202,620,179,299,1,1,60874.8033333333
91,4.7,257,245,169,710,4,3,74115.305
87,7.3,167,300,162,730,1,2,46708.0375
40,7,187,378,137,457,2,3,34731.8291666667
95,1.6,129,382,199,717,5,3,105773.05
54,7.6,181,303,200,706,4,1,40075.53
65,7.2,142,303,175,249,3,3,42453.1675
45,6.2,230,428,199,265,1,2,46187.1225
101,7.4,101,599,198,444,2,2,49478.01
114,5.5,137,288,126,646,2,3,60313.1020833333
111,7.1,134,302,118,293,3,2,50752.17125
97,8.9,124,284,173,613,5,2,45881.9541666667
53,7.1,136,495,196,273,5,3,39030.65
100,9,169,176,189,359,1,3,51780.6025
44,8.8,116,518,164,363,3,2,27912.1777083333
130,6.1,221,430,172,787,4,3,63397.9425
109,11.4,212,517,238,686,2,3,57584.4875
78,6,142,404,188,880,5,2,52081.2125
61,2.3,213,290,191,611,4,3,92725.7625
94,6.3,237,371,234,533,3,2,66344.0575
108,12.2,240,334,217,907,4,2,59585.6675
112,8.6,172,778,131,259,2,2,48434.84
55,3.6,138,272,171,227,1,2,53578.0066666667
48,5.4,164,459,187,6,1,3,45234.165
62,11.5,179,399,165,285,4,1,31028.8791666667
67,9.7,107,324,147,506,5,3,40424.7320833333
54,1.2,180,245,187,784,5,3,90311.3825
87,3.8,221,518,222,139,5,2,77527.97
103,5,202,318,165,401,4,3,65446.4929166667
51,3.8,165,488,237,213,5,3,59918.92
56,6.1,188,511,166,731,4,1,42535.1825
58,9,249,470,173,314,1,3,44408.8558333333
104,9.8,142,500,160,557,5,2,45053.1883333333
53,4.3,215,164,193,400,3,1,60361.9025
84,7.1,170,211,150,515,1,3,46293.1933333333
50,8.4,198,469,200,547,1,2,42281.2125
89,10.1,200,447,161,597,4,3,47450.3425
110,11.4,203,362,206,337,5,1,56952.145
109,8.1,173,579,166,552,1,2,46193.0558333333
92,7.9,152,325,156,811,3,2,45474.2958333333
57,13.9,244,301,163,303,4,2,33762.4039583333
63,6.4,221,512,176,776,2,2,47617.1058333333
73,7.9,166,165,196,276,2,3,49026.2575
22,9.5,202,173,134,634,2,2,28506.6
142,7,265,297,185,570,2,1,65042.1575
44,6.7,163,444,209,696,4,3,44599.6475
69,10.1,186,449,193,252,2,2,47164.3325
89,5.4,147,299,180,255,4,2,59792.9975
54,8.7,277,517,174,410,1,1,45246.4933333333
69,4.6,220,336,198,155,2,3,71950.735
66,7.4,174,334,189,584,1,3,44689.7625
47,7.7,196,383,183,186,2,2,39208.075
91,8.4,233,147,191,140,1,2,58811.7075
52,9.5,188,364,173,336,1,2,33904.0208333333
66,7,243,380,220,508,5,2,52474.6825
62,9.9,206,153,180,276,2,1,35496.6875
61,8.4,209,402,227,704,1,1,42358.425
52,4.4,144,550,203,739,3,3,61967.058125
84,5.8,195,367,244,430,1,1,63080.625
60,3.2,130,338,232,556,4,3,93239.7
104,8.5,220,501,152,214,4,3,53427.438125
75,6.5,186,466,217,218,5,2,57324.7125
144,5.4,181,281,213,458,2,1,65487.535
44,9.4,185,487,179,54,4,1,35565.075
83,0.9,98,384,171,731,4,3,105545.0275
94,7.3,226,522,207,437,2,3,57166.0625
38,6.1,184,387,170,628,5,1,38491.871577381
63,6.2,209,168,184,351,5,2,42957.6375
82,10.9,209,401,171,413,2,3,48673.7975
53,12.1,253,329,198,1124,5,1,49183.4925
83,8.5,207,300,183,819,5,3,50206.6675
65,9.6,161,445,209,438,5,2,43996.025
89,9.2,266,434,146,516,5,2,57833.17
83,5.4,197,530,195,586,1,1,62705.9425
73,4.7,191,172,194,860,1,2,58383.6725
72,8.5,133,575,168,759,3,1,41770.490625
37,10.4,246,303,165,414,1,2,40174.2070833333
68,7.4,186,567,180,656,5,3,44203.0625
65,5.2,191,270,199,620,5,1,49697.7125
122,7.8,239,256,163,342,5,2,54759.6408333333
55,7.2,202,351,192,279,5,1,41007.2425
93,3.5,226,422,205,894,4,3,84687.5625
63,5.3,163,114,201,277,4,1,46089.1825
73,7.2,224,393,202,688,5,2,49652.6125
101,5.8,204,484,211,508,3,1,64932.2875
98,8.7,245,327,242,503,2,3,59349.065
82,13.8,264,383,244,691,5,3,64958.9725
93,8,209,493,156,715,4,2,49658.7879166667
60,7.5,98,239,227,500,1,1,37634.2447916667
90,8.6,218,423,219,462,2,1,54880.33
58,9.6,96,309,201,366,1,3,37288.1291666667
22,12,241,471,262,589,2,1,40793.205
35,7.5,212,181,163,701,1,2,31195.707202381
67,6.6,254,282,199,97,2,2,67483.445
115,3.8,181,387,209,582,4,2,78008.6
39,7.1,195,278,235,486,3,3,40767.81
39,12,248,477,171,121,4,2,42402.885
87,15.8,197,648,95,406,2,2,49485.2625
52,6.2,116,699,215,601,5,3,43465.003125
40,1,143,287,200,452,2,1,92706.9225
67,9.2,213,142,239,253,3,3,54296.5825
73,6.1,236,242,176,480,4,3,60533.9825
12,7.5,135,401,208,828,5,1,34130.503125
25,12.5,139,280,248,551,5,3,36664.5575
92,9.3,117,387,131,636,2,2,43146.9552083333
94,10.8,223,648,163,838,5,3,51244.8025
67,8.8,199,324,176,439,3,2,46301.2325
69,6,170,231,222,121,3,1,59406.295
58,10.9,143,475,205,672,1,3,37293.825
55,5,112,585,200,619,5,2,43386.578125
99,5.3,217,384,210,551,2,2,64741.57
93,7.8,191,346,248,379,4,1,54946.7925
54,7.2,138,448,218,678,5,3,39290.503125
84,3.7,177,408,165,485,1,2,69611.8775
74,8.7,195,608,172,884,1,3,46572.7275
56,11.2,199,373,155,794,3,3,35809.4464285714
84,5.7,158,130,201,436,2,2,59413.45
95,6.8,190,438,181,658,2,3,57081.3225
93,2.1,154,290,241,575,2,2,112650.5875
64,6.1,263,459,187,366,1,1,55494.18
121,6.1,107,446,174,128,2,1,59599.76
58,6.1,130,213,205,315,3,2,42806.5075
51,7.3,78,406,199,836,3,1,39058.258125
25,7,226,153,206,39,5,1,36666.175
51,4.8,92,534,237,962,2,1,47909.105
67,6,123,134,137,594,3,2,53771.71875
38,15.5,212,311,228,704,3,2,40270.8525
52,4.1,177,245,160,349,1,3,55563.7108928571
86,9.8,200,443,176,613,2,1,48929.855
86,9.6,244,400,176,750,5,2,52808.905
53,1.2,242,380,175,547,3,1,94543.6025
81,0.7,156,93,133,714,2,1,97064.34
86,9.9,178,273,240,610,3,3,51261.9625
74,10,192,333,219,91,4,2,52674.895
90,4.3,204,415,184,372,5,3,71429.8125
80,4.5,154,469,179,738,3,2,67578.935
26,8.6,198,468,179,223,3,2,30087.3625
79,8.9,191,230,210,600,5,1,50977.675
26,10.1,188,557,179,496,2,2,31935
51,10,174,276,225,721,2,1,37401.65
67,7.8,146,454,146,404,1,2,39425.6472916667
66,6,227,291,192,607,1,1,61318.51
67,7.6,146,13,230,370,4,1,49695.5875
114,6.2,272,427,210,636,1,2,74769.66
49,5.7,141,271,168,509,5,3,37284.4591964286
77,8.1,157,370,225,343,3,3,49294.6
83,3.3,200,480,171,610,1,3,93043.8475
32,3,148,300,172,421,2,3,89978.79
65,13,209,112,195,711,3,2,48976.115
49,9,246,617,208,178,5,2,51318.6375
105,16.5,247,282,234,845,3,3,70773.265
60,6.2,212,421,243,583,5,3,45697.8225
45,6.7,170,543,151,750,5,1,38222.949375
70,3,272,608,182,353,5,3,100137.0525
71,4.1,180,674,221,741,1,2,74964.7725
54,8.2,166,517,205,736,3,1,40537.8958333333
99,8.2,163,230,204,577,1,1,49747.6675
58,3.7,210,659,177,495,5,3,54362.2867857143
60,4.6,146,381,187,873,2,2,58253.158125
33,5.4,182,359,210,219,2,1,43667.9725
78,1.8,179,222,176,393,5,3,92767.6625
76,6.4,153,364,183,238,1,2,55873.4625
74,7.9,94,362,200,419,5,1,44467.725
47,8,184,468,181,950,1,2,39772.6291666667
61,5.3,264,445,187,873,3,1,55572.88
35,7.4,200,217,186,220,5,2,36838.35
97,4.2,218,326,194,72,1,1,78806.3825
62,8,169,433,146,29,2,1,31798.453125
28,7.7,138,427,196,843,1,3,35238.903125
69,3.2,203,210,189,431,3,2,91565.5225
29,5.6,231,278,178,335,1,2,37943.1125
98,4.9,174,387,149,923,5,1,57527.9941666667
54,0.5,224,165,154,300,1,1,86660.9179761905
105,4.6,159,351,194,766,4,3,77608.8825
86,0.8,239,163,212,389,1,2,113400.9625
68,6.7,218,345,166,630,4,3,56532.5908333333
125,6.7,141,3,175,866,5,1,57195.3116666667
61,7.8,152,544,215,589,3,3,40712.3614583333
79,9.8,180,294,201,820,1,2,47454.685
47,11.8,142,358,161,350,3,2,27749.0239583333
65,2.9,151,220,194,404,5,3,92650.1575
44,9.6,204,397,178,42,3,3,35608.3125
137,10.6,223,426,129,633,2,3,52111.3675
24,5.6,107,389,204,374,5,2,36952.703125
85,8.6,236,278,198,469,1,1,56457.6075
98,6.7,178,235,154,244,1,3,57945.1108333333
86,8,158,315,187,479,2,1,49446.7975
79,14.7,255,377,186,462,2,1,60651.2725
72,8.5,188,465,218,211,4,1,52357.6825
88,5.3,94,230,193,401,3,2,60203.77
55,4.2,229,314,169,513,2,1,57730.8885714286
137,9,263,271,222,518,3,3,68253.9525
64,7.7,139,271,197,329,2,3,39898.64375
77,7,157,580,156,569,1,1,42316.1645833333
65,8.6,170,363,211,867,4,3,45124.22
14,8.6,207,283,183,360,2,3,33611.0875
119,9.6,163,278,134,886,3,3,48239.67625
116,3,167,320,226,788,5,3,114062.475
46,5.4,248,382,223,307,4,2,57234.68
11,6.1,217,401,154,597,5,1,34326.4833333333
145,5.2,181,362,156,274,4,3,61736.655
32,5.2,197,467,216,1060,2,1,44340.5625
42,4.3,241,197,229,1028,1,2,66211.9425
40,7.7,120,536,167,373,2,3,30318.0406845238
102,7.4,200,463,169,674,4,3,49900.2983333333
81,11.7,138,381,184,102,1,2,48951.2525
49,9.2,193,234,230,76,4,1,41203.125
41,4.9,152,376,174,200,1,2,39890.93875
6,5.7,195,293,202,151,4,3,40723.6325
75,7.5,244,362,179,444,4,1,51760.6633333333
74,6.1,247,402,161,524,3,3,64848.9616666667
102,5.9,207,453,165,118,5,1,58960.3316666667
50,6.5,176,363,200,514,1,2,45321.0825
74,11.3,113,514,171,100,3,1,45044.4875
60,4.6,229,237,215,566,1,3,65360.6025
34,6.4,219,425,127,386,2,3,35407.3429761905
15,5.2,190,466,223,506,4,3,43283.5225
10,6.3,156,310,201,468,1,1,39281.57
43,6.7,189,447,227,645,3,2,44877.91
74,7.1,272,481,232,319,2,3,62118.6
81,7.3,254,141,174,77,1,3,61568.03
0,7.8,103,526,157,811,1,3,27201.6653273809
45,6.9,130,320,180,541,2,2,36442.371875
51,11.6,200,307,196,553,2,1,39109.275
37,7.5,179,426,185,454,3,2,36990.7925
78,9.4,226,370,196,613,2,1,52379.9725
37,1.3,153,383,179,532,3,1,89143.415
52,7.8,118,365,208,611,1,3,38786.428125
53,1.2,160,438,177,741,1,2,89352.6016666667
93,3.3,194,426,152,727,3,2,88815.2775
45,10.2,166,215,206,776,3,1,35643.465625
70,8.8,163,474,236,1006,1,1,47619.545
70,5.4,134,265,185,902,5,1,51873.725
88,1.7,240,316,212,633,4,2,112619.6625
52,7.7,164,420,170,722,3,3,35854.4309523809
51,7.2,206,435,126,830,3,1,36980.3208333333
123,8.3,221,264,173,1127,4,1,54331.515
84,7,231,337,213,121,4,3,58503.55
95,10.8,246,357,184,169,2,1,65668.5775
21,5.3,174,486,154,434,5,3,32591.8671428571
68,4.7,122,201,172,669,3,3,56432.5475
98,5.3,262,175,179,663,2,3,72796.955
93,10.9,101,24,127,968,2,1,48196.7991666667
120,4.6,178,392,187,92,4,1,76851.815
104,7.8,222,209,229,452,1,2,58410.495
66,12.6,152,269,182,36,3,2,45837.8
67,0.3,129,204,211,354,2,1,98690.325
57,11.4,177,191,170,499,2,3,34158.7797619048
44,5.7,148,359,223,161,2,3,44670.0325
64,11.5,178,474,194,173,2,1,40787.25
12,15.1,186,260,193,604,2,2,35977.87
104,8.4,225,238,220,361,3,3,58653.7275
37,8.4,256,298,192,598,2,1,46637.515
51,1.7,199,369,186,696,4,1,92463.3225
10,10.4,184,383,206,51,2,1,34495.425
25,10,180,603,166,913,1,2,29769.1166666667
115,7.5,124,445,182,1208,5,2,47011.6325
7,7.1,209,267,247,191,1,1,39917.3875
69,7.5,107,412,203,726,1,2,43302.85
44,9,194,325,134,667,5,2,35131.0802083333
117,3.3,154,585,132,329,5,2,90358.3825
66,7.8,152,551,197,587,5,2,43433.2625
79,12.2,232,258,165,167,2,2,52821.71
101,6.4,173,669,178,826,1,2,60377.5191666667
53,7.5,175,261,198,394,4,2,39860.805
66,5.8,176,362,167,508,4,1,54022.0458333333
64,9.5,226,275,209,524,2,2,42907.875
15,6.9,138,506,177,182,1,2,26000.1125
63,3.9,196,190,179,597,3,1,58183.9425
76,7.8,177,235,212,441,5,3,48746.325
64,2.3,199,342,214,613,4,3,97603.025
150,9.3,122,276,195,923,2,1,50513.39
63,11.9,238,381,138,420,3,3,35517.5
33,1.3,156,530,184,342,4,1,88766.9141666667
91,7,227,375,155,145,2,3,52706.5175
102,5.4,175,386,187,441,5,3,57847.8325
72,12.4,140,414,163,77,1,1,43378.290625
70,3,199,328,128,66,5,2,89739
42,5.7,175,358,178,751,4,3,42563.693452381
54,11.6,140,608,133,389,1,2,28495.780625
137,7.5,144,431,167,484,1,1,45943.9045833333
116,5.3,172,471,197,149,1,3,62673.66
41,3.2,111,386,200,142,4,2,86812.97
58,12,194,290,215,434,3,2,37957.3375
110,4.3,241,490,199,38,5,3,83528.0925
43,8.4,172,504,232,987,5,1,39966.140625
81,9.6,204,322,166,445,4,3,48460.7433333333
9,5.4,87,357,247,683,3,3,43304.765
72,9.6,139,404,192,832,1,3,43726.465
38,7.1,185,404,198,724,4,2,39237.0175
44,13.4,185,337,203,290,3,3,42110.0525
61,9.2,275,617,173,593,5,2,46550.56
65,12.1,144,249,194,129,3,2,45895.945
36,4.5,251,214,230,279,3,3,73765.5925
18,2.4,191,136,194,856,3,1,93328.2
114,6.9,187,465,189,631,5,1,49331.3125
85,8,237,245,195,453,5,2,55129.425
106,9.4,135,307,190,364,2,3,52285.09
99,11.5,177,189,224,691,5,2,50741.7875
56,3,194,370,180,644,2,3,92319.9525
80,8.9,209,199,230,568,4,1,54185.4975
116,4.1,196,239,165,277,2,1,77577.955
77,4.1,112,335,183,274,1,3,67136.4025
36,10.3,214,220,185,451,5,1,34752.9375
84,7.9,237,132,216,504,1,3,57187.9
47,6,262,328,210,659,3,3,55706.5625
52,5.4,165,314,194,661,2,3,44544.0908333333
78,5.1,173,580,225,617,4,3,62400.9
121,1.5,196,51,204,715,3,1,109626.2
39,2.8,207,476,183,732,2,3,90033.0225
97,8.3,106,568,228,706,2,3,49862.825
57,3.1,207,158,220,52,2,1,97464.4
34,9.5,203,292,223,635,3,3,37327.8375
101,7.9,144,355,206,883,4,1,49654.4825
94,7.3,149,456,226,794,2,1,48859.6625
84,7.7,127,420,183,401,2,1,46312.235
23,4.2,237,313,215,485,2,1,62555.535
48,7.9,235,216,178,191,2,2,35887.8375
50,2.2,189,249,205,329,3,3,93894.94
64,10.9,282,591,174,666,4,3,48329.3475
66,3.6,259,527,148,276,5,3,66983.7775
95,6.6,243,224,175,690,4,1,64715.1975
58,5.4,192,152,183,539,5,3,40851.9916666667
43,7.7,213,341,179,788,1,3,39816.8958333333
55,0.2,275,179,159,329,1,3,97569.805
129,4.8,150,222,200,570,3,1,64210.0575
54,8.9,223,366,234,368,5,3,41826.7333333333
66,10.2,198,47,249,863,2,3,51856.765
102,10.7,209,246,158,40,2,1,53791.9675
82,9.9,246,375,229,34,2,3,68444.4975
80,9.9,195,357,182,847,2,3,47547.65
81,4,191,452,208,844,4,1,75002.7975
103,9,164,338,107,920,2,3,46607.2825
54,2.7,217,306,164,794,1,2,88051.105
72,2.8,145,366,152,530,2,2,90694.79
48,7.8,229,479,150,399,3,1,34015.4433333333
112,2,199,462,184,527,5,3,103546.5125
43,10.9,148,490,213,1091,3,1,36240.853125
87,5,220,401,238,621,2,1,66423.07
1,6.6,232,338,166,632,3,3,36105.4301190476
108,7.6,203,25,184,768,2,2,54503.61
68,4.3,214,301,203,72,1,1,72436.4775
51,3.5,209,539,184,389,3,3,61380.4025
53,7.4,222,602,222,657,2,1,42215.6425
75,8.6,145,302,158,658,4,3,43049.6854166667
26,8.6,120,42,207,1163,3,3,32414.4
89,5.9,201,294,252,193,4,2,65999.64
65,3.7,169,363,181,177,3,1,61809.6875
57,13.5,178,300,214,329,3,3,42121.1816666667
98,2.3,188,254,216,725,5,1,110161.825
59,5.3,166,430,129,675,3,2,41467.4276785714
55,4.5,202,326,207,1007,4,2,62642.3025
98,5.9,182,350,200,973,1,2,58340.9375
68,9.5,174,455,183,83,5,2,43845.875
86,2,145,578,186,347,2,3,103831.1375
61,2.6,140,400,210,745,2,1,93211.7875
79,6.7,137,450,197,32,1,2,57608.545
56,10.5,187,316,179,195,2,1,34849.05
75,8.3,268,274,225,471,4,2,61876.1075
116,4.5,209,447,182,620,2,3,79175.915
75,7.7,206,301,216,573,3,2,52463.7825
63,9.7,268,458,202,676,5,1,51008.7225
43,6.6,197,128,191,404,1,3,43531.4575
69,5.3,139,742,202,725,3,2,57715.3225
39,3.3,227,573,218,839,3,2,86225.3525
33,8.6,207,565,161,287,4,1,28677.6677083333
116,5.7,183,205,170,951,4,3,60298.39
39,7.9,136,431,166,615,3,3,32832.1869047619
66,5.5,200,262,147,401,1,2,56061.9866666667
128,7.7,159,497,205,585,1,3,50988.9425
95,13.8,229,400,179,687,3,1,54198.89
112,8.6,229,307,183,455,5,1,56645.7625
46,3.3,252,396,166,313,4,1,87240.1504166667
20,5.9,175,460,176,540,3,3,37038.5566666667
65,5.1,143,505,232,118,2,2,58961.9925
80,11.8,139,494,148,664,2,3,44098.1170833333
57,7.4,180,70,232,774,3,3,40834.05
18,3.4,133,364,200,534,4,2,58811.953125
85,13.7,183,568,184,537,5,2,48096.5625
8,2.4,153,308,153,762,4,2,84735.29
108,9.1,117,364,212,748,4,2,49803.405
85,11.3,121,308,174,638,2,1,48262.41875
33,9.5,179,176,196,338,5,1,35746.4625
51,7,154,308,189,146,1,3,39275.125
101,8,185,278,188,206,5,3,53037.5875
51,9,114,633,175,757,1,3,37613.35625
84,8.8,170,562,206,672,5,3,47785.35
22,1.5,234,475,170,1001,5,2,88050.5875
54,11.5,14,500,221,242,2,1,37300.24
59,10.5,244,500,193,680,2,2,42108.885
41,11.7,196,125,114,447,1,3,33210.8260416667
65,5.9,114,448,150,801,4,2,50643.8645833333
73,5.8,150,255,202,397,3,2,56728.745
88,9.4,189,283,192,772,4,3,51324.68
57,8.9,170,341,143,758,4,2,34262.7276785714
82,9.7,217,281,159,542,2,2,48999.97875
86,10.6,191,502,196,555,4,3,51324.645
40,5.1,203,317,227,733,5,2,44308.2125
132,8.2,234,436,197,430,5,2,55982.715
92,6,242,448,200,522,2,3,66023.9025
122,3.2,212,362,190,410,2,2,103990.8975
100,2.4,136,468,204,418,1,1,102639.57
101,9.2,209,570,202,1260,5,2,53855.0775
53,9.9,149,525,215,198,3,2,39018.15
65,4.1,254,395,192,223,5,3,71301.27
50,6,164,203,190,459,3,2,44060.0875
61,6.9,158,498,228,713,5,2,41547.4208333333
75,7.2,154,396,158,439,3,2,41114.2233333333
29,7.4,185,186,209,686,2,1,35775.4375
80,6.5,238,418,225,963,5,2,60531.6575
98,7.4,214,312,133,1298,3,3,51953.66
29,8.2,150,269,180,620,5,2,30765.6760416667
94,4.1,146,397,166,449,3,1,71091.3308333333
84,4.6,213,256,154,361,1,3,73377.085
19,8.9,140,185,151,519,5,1,26164.696875
51,7.3,178,133,195,449,3,2,40476.975
85,5.9,242,66,213,563,3,3,67748.53
29,1.5,133,51,198,616,4,2,92007.835
41,6.5,185,656,250,768,4,3,48184.2375
63,8.1,260,412,128,801,5,3,46006.4127083333
49,7.6,169,189,173,440,1,1,34013.3692857143
79,11.6,140,241,225,552,1,3,50455.74
36,7.7,255,182,126,771,2,1,41554.4025
84,5.1,174,405,153,579,2,2,60114.9941666667
79,4.9,192,393,209,747,3,3,62604.9325
97,10.5,253,170,146,559,5,1,60986.39
20,1.3,189,343,178,621,2,3,89780.765
41,5.6,170,225,213,434,5,2,41696.6875
81,10.5,175,445,205,764,1,1,46806.19
121,11.2,161,484,202,102,3,2,53060.2275
70,6.1,126,533,168,318,3,1,55855.84
92,6.1,232,266,190,129,2,3,64997.4825
43,6.1,178,104,207,364,2,2,43742.92
50,10.4,204,323,179,429,3,3,37745.8041666667
85,11.8,136,379,194,612,5,2,45901.2875
62,1,124,165,150,645,3,1,86071.7393452381
18,6.9,200,398,185,413,2,1,36492.1625
24,1.2,163,275,215,402,2,1,95014.4125
82,8.2,132,458,222,98,5,2,50626.1
56,3.8,193,462,220,449,2,1,61948.8175
90,10.6,226,276,186,892,3,1,56662.6425
80,6.8,135,315,181,530,1,2,56530.0275
46,9.1,243,498,153,407,1,1,34555.644375
137,8.8,171,333,139,889,4,2,46500.325
66,8.7,228,408,155,780,4,1,48136.3075
98,9.3,271,280,228,1146,3,2,68619.6225
114,3.2,205,370,171,213,1,3,103268.8975
55,7.1,112,337,208,554,4,2,38541.645625
86,8,159,93,204,108,3,2,53534.51
26,2.9,118,338,242,386,4,1,97749.65
111,4.5,193,438,174,626,1,1,75676.755
2,3.4,134,527,145,581,2,2,53176.578125
74,6.6,121,409,194,557,2,3,54261.04
89,4.1,260,390,173,705,5,2,79076.3825
53,4.5,163,408,191,239,3,3,59723.4825
91,2.7,239,402,203,442,4,1,107881.49
20,2.9,240,148,179,629,4,3,92081.49
6,5.7,175,609,195,402,2,1,41724.4975
57,7.1,186,242,185,657,3,2,38900.955
37,8.4,155,254,229,536,4,2,35062.1072916667
60,8.1,144,374,159,418,1,1,28958.8110714286
80,6.1,244,297,252,326,4,1,68310.99
94,9.1,147,520,201,832,3,3,48067.88
54,10.3,244,270,191,500,1,1,40930.495
31,8.6,211,168,210,876,2,2,36669.9875
83,6.9,131,221,147,474,2,1,47598.0672916667
10,8,138,353,201,466,1,3,34332.590625
44,8.7,130,347,179,511,1,2,36039.00625
110,13.4,198,402,185,764,4,2,54153.59
98,8.3,121,576,212,514,5,3,48248.1
41,8.5,181,341,206,384,3,2,39463.9625
73,5.8,217,445,222,845,5,2,57103.7025
100,8.6,133,498,244,46,3,1,54491.44
70,6,168,615,158,601,1,2,56499.9191666667
58,7.1,175,463,198,747,3,3,41292.2958333333
52,6.1,197,101,213,151,2,3,46513.5825
98,4.2,195,234,159,658,3,2,73837.9825
83,2.9,170,535,193,566,2,2,105202.2975
29,7.3,165,260,198,564,5,2,35815.275
56,4.8,163,433,223,452,1,2,47400.3933333333
29,6.6,172,387,170,750,5,1,33061.8908333333
72,3.6,123,435,234,1004,2,1,71702.2275
83,8.5,140,247,184,712,1,3,47753.05
67,6.7,97,28,172,314,3,3,53582.76875
82,4.3,138,357,212,269,1,3,77127.1075
68,14.1,202,374,156,832,2,3,45892.785
55,14.4,173,159,186,335,4,2,39140.8375
71,4.2,123,355,207,767,5,1,66447.8725
98,9.1,207,364,213,665,1,3,53492.82
69,6.8,187,310,198,793,5,2,52553.3625
96,4.5,156,349,207,286,5,1,75412.365
7,5.4,127,242,244,686,1,1,42090.205
37,0.5,175,550,160,222,3,1,83479.9725
34,7.5,136,388,210,321,2,2,35022.5466666667
82,5.6,126,282,199,168,1,1,59680.3625
76,9.1,253,549,229,382,4,1,62173.9275
89,1.4,172,501,168,679,4,2,103364.101666667
48,9,250,258,219,967,1,1,50821.0475
27,0.2,149,316,172,250,4,2,88971.9775
96,12,142,277,179,1123,1,3,49215.96625
74,7.1,140,322,190,548,5,1,45647.8
102,5.7,157,410,208,660,4,1,61261.5
47,11.1,226,445,139,942,3,3,36177.3625
52,5.8,200,468,229,422,1,3,47302.8266666667
95,3.2,183,506,220,310,1,3,106122.35
63,5.3,249,556,142,615,2,3,54849.7925
72,10.5,159,403,178,606,1,3,42353.5125
58,9.1,207,202,255,580,5,1,42141.195
68,8.8,215,266,194,403,2,2,49893.79
43,6.7,84,409,198,719,3,2,42203.285625
103,7,255,376,203,792,5,2,64797.045
52,8.2,201,374,163,667,4,1,35571.6715773809
65,6,218,456,141,377,1,3,52557.5266666667
60,5.7,206,553,246,453,1,2,48578.7575
30,6.3,168,242,258,279,2,2,43730.9025
142,9.5,249,185,204,433,1,3,67343.99
45,8.1,253,436,230,848,5,1,51037.463125
118,9.1,205,191,157,283,5,2,52494.97
70,8.8,183,538,118,1153,2,1,44613.9575
34,4.7,168,311,195,580,1,2,43878.715
105,6.1,204,481,170,231,5,3,59976.8458333333
21,9.3,165,469,197,73,1,1,34965.3
126,4.2,224,347,213,523,2,2,84035.8425
57,8.1,173,537,207,277,3,1,39576.925
60,5.7,200,151,182,1057,2,1,43717.35
59,7.1,227,643,256,541,4,3,44733.345
58,8.7,154,158,141,366,5,1,28615.1998214286
107,3,202,509,160,594,1,2,102910.235
62,4.5,166,424,135,459,1,3,55811.8560119048
88,4.4,219,489,180,624,3,2,76184.2625
69,8,137,346,189,972,3,2,44492.8075
23,1.8,211,237,164,79,1,1,84989.2525
81,2.6,179,298,166,518,3,2,101734.015
78,12.7,247,500,152,546,2,2,55817.17
65,11.5,203,356,242,174,4,2,51079.595
89,6.6,179,398,175,638,1,2,56195.8375
116,8.6,143,379,195,553,4,1,48488.7175
83,6.7,175,237,191,653,3,2,59179.2025
12,10.6,159,134,194,355,5,3,32693.1875
97,12,173,114,185,298,4,1,54073.6975
113,7.3,185,346,167,187,4,3,49681.315
31,6.6,169,135,163,512,4,3,33458.3613690476
35,5.3,213,414,203,332,5,1,41255.2791666667
46,3.1,262,331,163,461,2,3,96567.7616666667
52,3,249,253,171,418,2,1,104155.8325
51,11.7,241,319,171,681,3,3,39589.9575
47,10.1,216,321,254,543,2,1,41812.210625
73,3.3,206,296,207,480,1,1,88108.28
94,3.5,265,460,263,587,5,1,92872.7675
89,4.4,201,573,187,762,5,3,75801.2225
90,6.1,176,452,208,420,1,3,60609.2075
88,9.4,235,193,184,505,5,1,53917
113,3.4,236,591,235,883,2,1,91932.325
85,1,173,397,211,477,2,1,107623.15
79,5.2,90,392,160,776,2,1,56033.82875
84,13.2,291,424,220,770,2,3,67182.52
16,9.1,130,512,192,108,5,1,33971.4625
85,6.4,241,390,185,624,2,2,65655.0925
37,2.2,192,265,151,584,3,2,85620.565
28,2.7,244,431,169,326,1,3,90959.8796428572
94,8.5,155,400,150,254,5,1,45316.8916666667
33,6.8,246,524,249,557,3,3,55322.6375
62,3.8,238,408,145,1067,4,3,56653.3755952381
58,8.7,195,732,174,154,4,3,35658.925
53,6.8,175,226,210,822,1,2,44205.2283333333
126,10.5,198,333,191,500,3,1,54285.975
71,11.7,245,522,153,548,5,1,50398.6525
7,7.4,129,194,215,897,1,3,33014.178125
103,6.4,124,334,259,123,5,1,63605.425
89,1.5,230,216,175,389,4,3,108642.465
43,7,143,350,237,419,5,3,40030.0725
82,3.2,179,213,191,370,3,3,97940.7075
49,4,161,287,239,455,2,1,64380.535
52,9.7,169,165,187,545,3,3,38135.9833333333
5,6.1,208,347,161,569,3,2,36072.0726190476
76,10.9,135,269,175,796,1,1,44825.64375
135,9.2,169,205,158,368,1,3,48462.18375
65,2.3,165,281,196,350,1,1,94670.9125
116,7,166,449,180,845,2,2,46998.9075
82,9.3,177,139,166,984,2,2,46072.0183333333
61,6.5,135,215,159,509,1,2,38803.7119047619
